timestep,reward
172593,-0.0692
172748,-0.0422
172889,-0.0654
173033,-0.0538
173181,-0.0634
173342,-0.0734
173481,-0.064
173633,-0.0455
173787,-0.0618
173933,-0.0722
174087,-0.0695
174229,-0.0738
174363,-0.0556
174499,-0.0487
174660,-0.0711
174803,-0.0518
174944,-0.0544
175103,-0.0717
175254,-0.0663
175421,-0.0473
175586,-0.0574
175743,-0.0698
175909,-0.072
176062,-0.0581
176209,-0.0667
176361,-0.08
176517,-0.0469
176660,-0.0467
176813,-0.0529
176953,-0.0622
177094,-0.075
177248,-0.0361
177394,-0.063
177546,-0.068
177695,-0.0649
177846,-0.0646
178004,-0.0846
178144,-0.0546
178289,-0.0566
178429,-0.055
178593,-0.0815
178731,-0.0664
178882,-0.0549
179023,-0.0543
179181,-0.0619
179337,-0.0786
179488,-0.0579
179645,-0.072
179798,-0.0509
179955,-0.077
180099,-0.0545
180231,-0.0533
180373,-0.07
180533,-0.0577
180679,-0.0579
180831,-0.05
180988,-0.0559
181132,-0.0714
181287,-0.0607
181442,-0.0768
181606,-0.0557
181748,-0.043
181899,-0.0538
182052,-0.0698
182202,-0.0667
182355,-0.0652
182504,-0.0688
182651,-0.0543
182803,-0.0613
182955,-0.0758
183107,-0.0646
183268,-0.0386
183415,-0.0649
183577,-0.0832
183722,-0.0663
183880,-0.0575
184036,-0.0724
184191,-0.0696
184343,-0.0646
184505,-0.0504
184663,-0.0581
184823,-0.0773
184980,-0.0523
185123,-0.0613
185272,-0.0577
185418,-0.0573
185558,-0.0643
185709,-0.0533
185852,-0.0756
186004,-0.0602
186154,-0.0575
186302,-0.0395
186439,-0.0648
186591,-0.0568
186741,-0.0607
186900,-0.0434
187052,-0.0674
187194,-0.0513
187343,-0.058
187487,-0.0645
187627,-0.0666
187766,-0.0733
187914,-0.0561
188060,-0.0502
188212,-0.0608
188360,-0.0557
188499,-0.0782
188659,-0.0602
188792,-0.0577
188938,-0.0683
189080,-0.0567
189223,-0.0564
189388,-0.0495
189536,-0.062
189695,-0.0565
189854,-0.0495
190009,-0.0849
190162,-0.0598
190308,-0.0683
190462,-0.0625
190611,-0.0627
190750,-0.059
190892,-0.052
191052,-0.0518
191197,-0.0506
191351,-0.0643
191501,-0.0761
191644,-0.0447
191785,-0.0515
191929,-0.058
192066,-0.066
192222,-0.0409
192359,-0.0417
192508,-0.0457
192654,-0.0481
192800,-0.0409
192946,-0.052
193092,-0.0499
193239,-0.0666
193385,-0.054
193533,-0.0682
193677,-0.0812
193826,-0.0569
193975,-0.0529
194116,-0.0353
194273,-0.0573
194418,-0.0603
194588,-0.0668
194724,-0.0594
194875,-0.0453
195009,-0.0699
195160,-0.0768
195309,-0.0656
195448,-0.057
195603,-0.0543
195744,-0.0521
195894,-0.0615
196046,-0.0666
196195,-0.0513
196330,-0.0432
196480,-0.0593
196630,-0.0516
196771,-0.0519
196914,-0.0615
197057,-0.0501
197206,-0.0648
197367,-0.0473
197511,-0.0534
197669,-0.0659
197811,-0.0507
197967,-0.0762
198111,-0.0472
198246,-0.0577
198385,-0.0522
198537,-0.0641
198694,-0.0643
198846,-0.055
198984,-0.0497
199133,-0.0502
199290,-0.0615
199444,-0.0444
199587,-0.068
199730,-0.065
199869,-0.0577
200022,-0.0504
200180,-0.0534
200328,-0.0744
200473,-0.0489
200620,-0.0541
200757,-0.0694
200905,-0.0701
201037,-0.0541
201181,-0.0573
201330,-0.0479
201472,-0.0699
201614,-0.0692
201761,-0.0799
201911,-0.0564
202060,-0.0702
202205,-0.0603
202351,-0.061
202500,-0.0515
202653,-0.0653
202809,-0.0634
202949,-0.0605
203094,-0.0512
203239,-0.0498
203386,-0.0603
203536,-0.0552
203677,-0.0675
203827,-0.0536
203975,-0.075
204117,-0.0603
204259,-0.0462
204411,-0.0526
204577,-0.0601
204717,-0.0694
204869,-0.0613
205020,-0.0614
205164,-0.0386
205306,-0.0441
205458,-0.061
205611,-0.0624
205755,-0.0585
205902,-0.0652
206058,-0.0386
206207,-0.0507
206369,-0.0715
206516,-0.0564
206661,-0.0516
206813,-0.0495
206951,-0.0572
207103,-0.0535
207245,-0.0457
207393,-0.0641
207532,-0.055
207670,-0.0441
207828,-0.0777
207969,-0.0675
208115,-0.0515
208263,-0.0581
208409,-0.0392
208552,-0.0694
208704,-0.0684
208844,-0.0624
208992,-0.0518
209137,-0.0687
209283,-0.047
209433,-0.0574
209576,-0.0621
209721,-0.0653
209886,-0.0671
210032,-0.0503
210186,-0.0496
210340,-0.0643
